Tweet_ID,Raw_text,Cleaned_text,Created_at,Sentiment,Annotation
4.13228E+17,can't wait to get out of school on Friday,wait school friday,12/18/2013 8:42:32,0,Other
4.13228E+17,"visiting my best friend in patient on Friday, is it bad that I hope she triggers me..",visiting friend patient friday bad hope triggers,12/18/2013 8:42:59,-0.606552,Other
4.13228E+17,I haven't been nearly so motivated since she left school,motivated school,12/18/2013 8:43:41,-0.359175,S7_Concentration_Problems
4.1334E+17,@larlo_roseann might try that!,,12/18/2013 16:07:42,0,Other
4.13437E+17,two lessons cancelled tomorrow so I'm skipping school to go to the gym,lessons cancelled tomorrow skipping school gym,12/18/2013 22:34:19,-0.809737,Other
4.13439E+17,RT @evanescentgirl: IT MAKES ME SO ANGRY HOW SOME GIRLS IN MY SCHOOL SEE MENTAL ILLNESS AS A COMPETITION OF 'WHO'S THE WORST' LIKE NO IT'S …,angry girls school meNTaL illness COMPETitION 'who's worst,12/18/2013 22:41:41,-0.927758,Other
4.1344E+17,I wish I could see the weight I've lost,weight lost,12/18/2013 22:46:18,-0.844366,Other
4.13441E+17,"RT @pxlescxrs: CW: 6.11
GW: skinny",cw 11gw skinny,12/18/2013 22:49:09,0,Other
4.13441E+17,RT @delicatewaste: no one likes me but that's cool because I hate everyone,likes cool hate,12/18/2013 22:51:28,-0.858156,Other
4.13442E+17,such a waste of space,waste space,12/18/2013 22:54:05,-0.855954,Other
4.13442E+17,TOO FAT OMFG,fat omfg,12/18/2013 22:54:13,-0.732869,Other
4.13443E+17,RT @Loveskinnyyou: FAT USELESS PATHETIC UGLY MESSED UP WORTHLESS WASTE OF SPACE,fat useless pathetic ugly messed woh waste space,12/18/2013 22:56:46,-0.954345,Other
4.13444E+17,"this just came, I'm now complete http://t.co/Pa5YJQ8PUb",complete,12/18/2013 23:00:35,0,Other
4.13572E+17,"There's the most delicious cheesecake in the fridge right now, this is going to be so hard to resist",delicious cheesecake fridge resist,12/19/2013 7:31:54,0.653661,Other
4.13688E+17,"good gym session, no dinner today, I'd better wake up thinner",good gym session dinner wake thinner,12/19/2013 15:10:49,-0.425085,S5_Eating_Disorder
4.13763E+17,fuck this my boyf's mum just invited my parents to her party and I really don't want them there,fuck boyf's mum invited parents party,12/19/2013 20:07:28,-0.781893,Other
4.13801E+17,my best friends going to be so triggering tomorrow,friends triggering tomorrow,12/19/2013 22:39:46,-0.34509,Other
4.13801E+17,I need it though because I've had no motivation since she left school,motivation school,12/19/2013 22:40:03,-0.529371,S7_Concentration_Problems
4.13801E+17,"can't be bothered with school tomorrow, no one's gonna want to work",bothered school tomorrow work,12/19/2013 22:41:00,-0.825646,Other
4.13801E+17,I am a ginormous whale,ginormous whale,12/19/2013 22:41:20,0,S6_Feeling_Bad_About_Yourself
4.13802E+17,want a massive trigger to stop me eating over Christmas,massive trigger eating christmas,12/19/2013 22:45:56,-0.717412,S5_Eating_Disorder
4.13803E+17,when #Skinny4Xmas is over I'm going to have to set calorie limits that I force myself to stick to,skinny 4xmas set calorie limits force stick,12/19/2013 22:46:34,0,S5_Eating_Disorder
4.13803E+17,more excited for new year than Christmas - me and my boyf will have been together two years 💕💕,excited year christmas boy years,12/19/2013 22:49:52,0.636509,Other
4.13929E+17,RT @EDthoughts115: http://t.co/1RiSooamY2,,12/20/2013 7:09:55,0,Other
4.13935E+17,"Lost 0.8 lb yesterday, no dinner again today",lost lb yesterday dinner,12/20/2013 7:33:22,-0.804995,S5_Eating_Disorder
4.14053E+17,"off to visit my best friend now, pretty nervous",visit friend pretty nervous,12/20/2013 15:22:49,0.485154,Other
4.1412E+17,A,,12/20/2013 19:47:37,0,Other
4.14153E+17,So my best friend was massively triggering earlier,friend massively triggering earlier,12/20/2013 22:00:01,-0.223009,Other
4.14166E+17,"RT @EDSupportNtwrk: Thin is beautiful, even thinner is perfection
#Skinny4Xmas",thin beautiful thinner perfection skinny 4xmas,12/20/2013 22:51:17,0.845451,S5_Eating_Disorder
4.14166E+17,"RT @EDSupportNtwrk: You want food? Loook at those thighs!
#Skinny4Xmas",food loo thighs skinny 4xmas,12/20/2013 22:51:33,-0.36173,S5_Eating_Disorder
4.14166E+17,"RT @EDSupportNtwrk: Maybe I don't WANT to recover.
#Skinny4Xmas",recover skinny 4xmas,12/20/2013 22:51:59,-0.305392,S5_Eating_Disorder
4.14166E+17,"RT @EDSupportNtwrk: Calories CAN NOT make you happy
#Skinny4Xmas",calories happy skinny 4xmas,12/20/2013 22:52:16,-0.576376,S5_Eating_Disorder
4.14694E+17,once Christmas is over I'm going to lose so much more weight,christmas lose weight,12/22/2013 9:48:31,-0.847231,Other
